City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Culaba,PH,11.6578,124.5425,84.88,66,32,5.03,scattered clouds
195,Gizo,SB,-8.103,156.8419,83.95,72,79,8.25,light rain
196,Fukue,JP,32.6881,128.8419,55.58,54,0,18.66,clear sky
197,Saskylakh,RU,71.9167,114.0833,1.18,93,100,11.36,overcast clouds
198,Carnarvon,AU,-24.8667,113.6333,82.47,74,40,12.66,scattered clouds
199,Geraldton,AU,-28.7667,114.6,81.01,74,75,12.66,broken clouds
200,Tasiilaq,GL,65.6145,-37.6368,28.56,93,100,9.62,light snow
201,Auki,SB,-8.7676,160.7034,84.99,69,66,7.27,broken clouds
202,Cockburn Town,TC,21.4612,-71.1419,77.7,76,20,18.97,few clouds
203,Puro,PH,12.4841,123.3827,86.32,57,61,11.36,broken clouds
204,Rawson,AR,-43.3002,-65.1023,60.58,31,100,18.34,overcast clouds
205,Lugo,ES,43.0,-7.5,31.91,100,32,1.07,scattered clouds
206,Istok,XK,42.7808,20.4875,34.65,82,31,2.08,scattered clouds
207,Vangaindrano,MG,-23.35,47.6,73.89,84,6,4.59,clear sky
208,Okato,NZ,-39.2,173.8833,68.92,78,68,6.11,broken clouds
209,Luau,AO,-10.7073,22.2247,63.03,97,75,0.81,broken clouds
210,San Quintin,MX,30.4833,-115.95,59.0,80,54,5.48,broken clouds
211,Manokwari,ID,-0.8667,134.0833,82.8,79,100,8.77,overcast clouds
212,Chumikan,RU,54.7183,135.315,37.62,92,99,6.6,overcast clouds
213,Kahului,US,20.8947,-156.47,74.84,79,40,19.57,light rain
214,Padang,ID,-0.9492,100.3543,86.05,58,6,7.36,clear sky
215,Coihaique,CL,-45.5752,-72.0662,41.61,93,0,2.3,clear sky
216,Torit,SS,4.4133,32.5678,80.37,48,96,2.48,overcast clouds
217,Lima,PE,-12.0432,-77.0282,69.91,75,0,9.22,clear sky
218,Compostela,PH,7.6731,126.0889,78.55,89,100,4.32,overcast clouds
219,Rio Novo Do Sul,BR,-20.8625,-40.9364,72.0,95,87,1.61,light rain
220,Colesberg,ZA,-30.72,25.0972,58.55,84,93,12.1,overcast clouds
221,Lompoc,US,34.6391,-120.4579,58.01,86,100,3.0,mist
222,Flinders,AU,-34.5833,150.8552,78.19,49,68,11.01,broken clouds
223,Kitimat,CA,54.0524,-128.6534,36.91,29,100,2.51,moderate rain
224,Linhares,BR,-19.3911,-40.0722,71.24,95,9,2.13,clear sky
225,Dingle,PH,10.9995,122.6711,85.44,62,98,13.13,light rain
226,Limenaria,GR,40.6261,24.5786,52.05,69,31,9.51,scattered clouds
227,Yarim,YE,14.298,44.3779,58.39,27,0,5.88,clear sky
228,Toropets,RU,56.4978,31.6353,24.94,85,100,10.38,overcast clouds
229,Kenai,US,60.5544,-151.2583,36.09,75,0,4.61,clear sky
230,Faanui,PF,-16.4833,-151.75,82.38,69,16,2.55,few clouds
231,Saldanha,ZA,-33.0117,17.9442,58.75,82,0,7.78,clear sky
232,Katsuura,JP,35.1333,140.3,50.02,63,100,16.91,moderate rain
233,Tateyama,JP,34.9833,139.8667,52.11,62,100,15.28,moderate rain
234,Jacksonville,US,30.3322,-81.6556,64.4,98,100,10.36,mist
235,Midwest City,US,35.4495,-97.3967,60.91,59,0,10.36,clear sky
236,Mangrol,IN,21.1167,70.1167,84.7,50,8,5.17,clear sky
237,Pangnirtung,CA,66.1451,-65.7125,14.16,76,64,6.22,broken clouds
238,Berdigestyakh,RU,62.0989,126.6992,23.95,93,100,5.12,light snow
239,Puerto Gaitan,CO,4.3133,-72.0816,78.35,79,93,9.33,overcast clouds
240,Mar Del Plata,AR,-38.0023,-57.5575,59.88,92,0,25.01,clear sky
241,Xai-Xai,MZ,-25.0519,33.6442,75.61,78,64,8.01,broken clouds
242,Demyansk,RU,57.643,32.466,24.94,84,45,8.3,scattered clouds
243,Taylor,US,32.3001,-99.8337,62.33,50,0,9.22,clear sky
244,Rocha,UY,-34.4833,-54.3333,55.33,95,0,5.95,clear sky
245,Kapoeta,SS,4.7717,33.5903,85.41,38,100,21.72,overcast clouds
246,Tuy Hoa,VN,13.0833,109.3,72.37,92,100,18.88,moderate rain
247,Calabozo,VE,8.9242,-67.4293,82.65,52,21,7.45,few clouds
248,Tocache,PE,-8.1842,-76.5125,69.08,98,88,0.96,overcast clouds
249,Kartaly,RU,53.0522,60.6467,41.32,88,99,10.83,overcast clouds
250,Manjacaze,MZ,-24.7117,33.8828,73.74,81,48,7.02,scattered clouds
251,Benghazi,LY,32.1167,20.0667,63.03,57,53,11.18,broken clouds
252,Saint-Joseph,RE,-21.3667,55.6167,73.09,85,100,11.68,moderate rain
253,Mikhaylovka,RU,50.06,43.2379,53.78,74,16,17.58,few clouds
254,Constitucion,CL,-35.3333,-72.4167,56.14,90,88,12.24,overcast clouds
255,Bonthe,SL,7.5264,-12.505,76.78,88,100,1.83,overcast clouds
256,Kruisfontein,ZA,-34.0033,24.7314,62.89,96,100,7.36,light rain
257,Fremont,US,37.5483,-121.9886,64.04,68,0,5.01,clear sky
258,Shizukuishi,JP,39.6833,140.9833,51.22,48,3,3.2,clear sky
259,Aklavik,CA,68.2191,-135.0107,-18.06,99,99,6.29,overcast clouds
260,Yerbogachen,RU,61.2767,108.0108,20.75,74,100,13.47,overcast clouds
261,Vengerovo,RU,55.6848,76.7471,33.1,100,100,6.53,overcast clouds
262,Bavleny,RU,56.4,39.56,28.06,96,100,15.73,light snow
263,Pochutla,MX,15.7432,-96.4661,75.81,58,48,4.29,scattered clouds
264,Najran,SA,17.4924,44.1277,72.7,12,0,2.84,clear sky
265,Bethel,US,41.3712,-73.414,40.5,74,0,0.0,clear sky
266,Fallingbostel,DE,52.8667,9.7,30.9,78,13,4.97,few clouds
267,Manaure,CO,11.7751,-72.4445,78.58,78,59,12.57,broken clouds
268,Micheweni,TZ,-4.9667,39.8333,83.55,68,88,4.32,overcast clouds
269,Mana,GF,5.6592,-53.7767,77.29,88,99,10.27,overcast clouds
270,Grand Gaube,MU,-20.0064,57.6608,79.38,85,100,10.0,overcast clouds
271,Ancud,CL,-41.8697,-73.8203,45.23,80,37,7.16,scattered clouds
272,Jaboatao,BR,-8.1803,-35.0014,76.39,94,75,9.22,broken clouds
273,Virginia Beach,US,36.8529,-75.978,51.03,74,100,1.01,overcast clouds
274,Loreto,MX,22.2667,-101.9667,61.81,16,51,1.99,broken clouds
275,Storsteinnes,NO,69.2408,19.2344,23.38,98,97,4.99,overcast clouds
276,Sisimiut,GL,66.9395,-53.6735,27.01,90,100,5.03,overcast clouds
277,Laguna,US,38.421,-121.4238,64.65,47,0,4.61,clear sky
278,Atasu,KZ,48.6814,71.6433,39.04,83,82,2.51,broken clouds
279,Saint Anthony,US,45.0205,-93.218,39.13,61,100,8.05,overcast clouds
280,Poum,NC,-20.2333,164.0167,82.71,81,78,10.8,broken clouds
281,Fort Nelson,CA,58.8053,-122.7002,22.59,68,40,6.91,scattered clouds
282,Faya,SA,18.3851,42.4509,64.92,17,0,5.23,clear sky
283,Abu Dhabi,AE,24.4667,54.3667,75.31,81,0,4.61,clear sky
284,Hualmay,PE,-11.0964,-77.6139,68.02,88,92,8.66,overcast clouds
285,Kushmurun,KZ,52.4503,64.6311,37.26,98,100,11.48,overcast clouds
286,Batalha,BR,-9.6778,-37.1247,73.65,90,24,3.24,few clouds
287,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,4.61,clear sky
288,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.28,100,98,2.24,overcast clouds
289,Amahai,ID,-3.3333,128.9167,85.19,67,76,5.82,broken clouds
290,Sukhovolya,UA,49.8243,23.8377,30.99,97,100,10.78,light snow
291,Talakan,RU,50.3167,130.3667,46.33,64,66,11.23,broken clouds
292,Fayaoue,NC,-20.65,166.5333,82.6,82,100,17.74,overcast clouds
293,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.42,99,96,2.13,overcast clouds
294,Ismailia,EG,30.6043,32.2723,65.98,60,100,9.46,overcast clouds
295,Bukachacha,RU,52.9833,116.9167,44.76,49,100,14.72,overcast clouds
296,Parrita,CR,9.5201,-84.3225,79.59,77,30,2.44,scattered clouds
297,Oranzherei,RU,45.8476,47.5663,58.86,49,67,4.36,broken clouds
298,Talnakh,RU,69.4865,88.3972,7.21,91,99,6.06,overcast clouds
299,Lebu,CL,-37.6167,-73.65,50.92,78,25,11.34,scattered clouds
300,Ilulissat,GL,69.2167,-51.1,30.22,80,98,2.3,overcast clouds
301,Ariquemes,BR,-9.9133,-63.0408,67.89,99,31,1.99,scattered clouds
302,Nawalapitiya,LK,7.0559,80.5348,81.05,69,4,3.36,clear sky
303,Kaeo,NZ,-35.1,173.7833,73.33,80,96,3.69,light rain
304,Anshun,CN,26.25,105.9333,59.79,35,0,9.95,clear sky
305,Port-Gentil,GA,-0.7193,8.7815,78.19,78,99,3.13,overcast clouds
306,Mahebourg,MU,-20.4081,57.7,79.25,83,75,11.5,broken clouds
307,Beatrice,US,40.2681,-96.747,45.45,53,0,4.61,clear sky
308,Vazhiny,RU,60.9644,34.0222,20.93,89,57,1.48,broken clouds
309,Isangel,VU,-19.55,169.2667,82.99,77,100,7.05,overcast clouds
310,Viedma,AR,-40.8135,-62.9967,67.57,37,58,24.45,broken clouds
311,Asfi,MA,32.2994,-9.2372,57.58,72,100,2.55,overcast clouds
312,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,53,0,18.41,clear sky
313,Basco,PH,20.4487,121.9702,73.47,80,100,34.69,overcast clouds
314,Palana,RU,59.1167,159.9667,21.79,88,100,5.91,overcast clouds
315,Luorong,CN,24.4058,109.6086,71.04,37,0,8.28,clear sky
316,Asau,RO,46.4333,26.4,37.96,100,83,6.96,broken clouds
317,Berlevag,NO,70.8578,29.0864,22.8,69,100,18.95,overcast clouds
318,Kavieng,PG,-2.5744,150.7967,82.29,76,42,11.9,scattered clouds
319,Omsukchan,RU,62.5333,155.8,11.26,84,100,3.29,overcast clouds
320,Akyab,MM,20.15,92.9,85.21,67,11,8.41,few clouds
321,Hope,US,33.6671,-93.5916,62.65,88,0,4.29,clear sky
322,Hambantota,LK,6.1241,81.1185,84.94,65,3,6.49,clear sky
323,Zhigansk,RU,66.7697,123.3711,19.42,90,100,9.44,overcast clouds
324,Shetpe,KZ,44.1667,52.1167,64.58,29,7,10.33,clear sky
325,Bow Island,CA,49.8668,-111.3684,40.21,93,89,13.8,overcast clouds
326,Meadow Lake,US,34.8014,-106.5436,62.08,24,65,1.74,broken clouds
