City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,La Asuncion,VE,76.66,broken clouds,11.0333,-63.8628,Colinas de Matasiete
487,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
489,Duku,NG,80.31,overcast clouds,11.2361,4.9073,
492,Makakilo City,US,73.72,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
493,Muzaffarabad,PK,83.71,scattered clouds,34.37,73.4711,Pearl Continental Muzaffarabad
495,Ahuimanu,US,74.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
498,Papar,MY,89.6,moderate rain,5.7333,115.9333,Koposizon Homestay
500,San Policarpo,PH,82.63,broken clouds,12.1791,125.5072,Agapita M. Nicart
502,Kilindoni,TZ,81.88,scattered clouds,-7.9139,39.6668,Bustani B&B
504,Itaituba,BR,72.37,overcast clouds,-4.2761,-55.9836,Hotel Campos
505,Sabang,ID,81.86,light rain,5.8933,95.3214,Hotel Citra
508,Ca Mau,VN,81.75,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
510,Wajid,SO,82.53,overcast clouds,3.8093,43.2471,xamdihotelresturant114
514,Dakoro,NE,78.06,overcast clouds,14.5106,6.765,Shagon mai liverpool
524,Santa Cruz Cabralia,BR,73.63,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
526,Port Blair,IN,87.84,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
529,Alta Floresta,BR,70.2,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
531,Fare,PF,81.7,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
541,Perth,AU,87.01,broken clouds,-31.9333,115.8333,Quest on Rheola
544,Bontang,ID,79.14,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
545,Kavaratti,IN,82.49,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
546,Ban Nahin,LA,79.38,overcast clouds,18.2418,104.2122,
547,Oriximina,BR,73.63,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
