City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Cameta,-2.2444,-49.4958,85.17,68,35,7.27,BR,2022-04-02 17:31:09
162,Tutoia,-2.7619,-42.2744,78.51,85,98,4.54,BR,2022-04-02 17:31:10
163,Luderitz,-26.6481,15.1594,63.34,76,0,18.45,NA,2022-04-02 17:31:10
164,Santa Vitoria Do Palmar,-33.5189,-53.3681,70.66,53,72,7.43,BR,2022-04-02 17:30:54
165,Kenora,49.8167,-94.4337,32.97,69,100,8.05,CA,2022-04-02 17:31:11
166,Westport,41.1415,-73.3579,51.89,42,0,9.22,US,2022-04-02 17:30:34
167,Palma,39.5694,2.6502,58.03,35,20,13.8,ES,2022-04-02 17:27:40
168,San Felipe,10.3399,-68.7425,88.68,52,86,8.14,VE,2022-04-02 17:31:12
169,Tuatapere,-46.1333,167.6833,48.4,92,69,3.33,NZ,2022-04-02 17:30:07
170,Podgornoye,51.735,39.1496,53.82,76,75,17.9,RU,2022-04-02 17:31:12
171,Port Hardy,50.6996,-127.4199,42.98,87,100,6.91,CA,2022-04-02 17:31:13
172,Praia,14.9215,-23.5087,77.54,57,20,25.32,CV,2022-04-02 17:31:13
173,Port Lincoln,-34.7333,135.8667,60.08,81,76,10.29,AU,2022-04-02 17:30:26
174,Bonavista,48.6499,-53.1147,37.31,92,97,19.91,CA,2022-04-02 17:31:14
175,Longyearbyen,78.2186,15.6401,1.24,66,20,10.36,SJ,2022-04-02 17:31:14
176,Liverpool,53.4106,-2.9779,49.71,54,40,8.05,GB,2022-04-02 17:28:50
177,Iskateley,67.6803,53.1512,3.0,98,45,6.51,RU,2022-04-02 17:30:40
178,San Ramon,37.7799,-121.978,65.14,66,0,4.61,US,2022-04-02 17:31:15
179,Arman,59.7,150.1667,8.02,79,100,5.97,RU,2022-04-02 17:31:15
180,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,58,75,4.47,RU,2022-04-02 17:31:16
181,Mitsamiouli,-11.3847,43.2844,81.82,74,9,4.18,KM,2022-04-02 17:31:16
182,Omboue,-1.5746,9.2618,76.21,83,100,6.38,GA,2022-04-02 17:32:17
183,Bull Savanna,17.8868,-77.5902,83.21,60,14,18.77,JM,2022-04-02 17:32:17
184,Prince Rupert,54.3161,-130.3201,42.89,75,100,36.82,CA,2022-04-02 17:30:25
185,Price,39.5994,-110.8107,58.12,22,0,4.61,US,2022-04-02 17:32:18
186,Banjar,-8.19,114.9675,76.41,88,90,4.21,ID,2022-04-02 17:32:19
187,Okha,53.5739,142.9478,13.59,94,55,5.39,RU,2022-04-02 17:32:19
188,Svetlogorsk,52.6333,29.7333,32.81,98,100,11.32,BY,2022-04-02 17:32:19
189,Zhangzhou,24.5133,117.6556,57.13,84,100,2.28,CN,2022-04-02 17:32:20
190,Issenye,-2.0,34.3333,63.21,93,91,2.24,TZ,2022-04-02 17:32:20
191,Tinos,37.5375,25.1634,64.02,67,20,5.75,GR,2022-04-02 17:32:21
192,Feodosiya,45.0333,35.3833,51.49,81,0,11.14,UA,2022-04-02 17:32:21
193,Sao Filipe,14.8961,-24.4956,72.1,78,57,9.46,CV,2022-04-02 17:32:22
194,Boueni,-12.9025,45.0761,82.38,70,7,4.05,YT,2022-04-02 17:32:22
195,Dorogobuzh,54.915,33.2972,30.72,96,100,16.62,RU,2022-04-02 17:32:22
196,Zhigansk,66.7697,123.3711,-4.29,100,79,1.39,RU,2022-04-02 17:32:23
197,Xining,36.6167,101.7667,40.28,37,0,1.77,CN,2022-04-02 17:32:23
198,Arraial Do Cabo,-22.9661,-42.0278,80.56,78,75,10.36,BR,2022-04-02 17:32:24
199,Bontang,0.1333,117.5,79.12,83,25,3.02,ID,2022-04-02 17:32:24
200,Aguimes,27.9054,-15.4461,64.65,59,75,4.61,ES,2022-04-02 17:32:24
201,Nelson Bay,-32.7167,152.15,58.08,95,0,8.5,AU,2022-04-02 17:32:25
202,Buala,-8.145,159.5921,79.12,84,95,6.53,SB,2022-04-02 17:32:25
203,Kijang,35.2442,129.2139,44.33,65,19,2.91,KR,2022-04-02 17:32:26
204,West Bay,19.3667,-81.4167,87.87,58,20,11.5,KY,2022-04-02 17:32:26
205,Onega,63.9061,38.1404,16.7,93,96,4.97,RU,2022-04-02 17:32:26
206,Camabatela,-8.1881,15.375,63.5,98,99,2.86,AO,2022-04-02 17:32:27
207,Ukiah,39.1502,-123.2078,66.36,57,0,3.44,US,2022-04-02 17:30:02
208,Banihal,33.4167,75.2,57.38,29,0,5.88,IN,2022-04-02 17:32:27
209,Saint-Quentin,49.8333,3.3333,41.09,72,100,9.46,FR,2022-04-02 17:32:28
210,Gat,31.61,34.7642,76.41,39,100,4.52,IL,2022-04-02 17:32:28
211,Byron Bay,-28.65,153.6167,67.89,90,51,7.0,AU,2022-04-02 17:30:37
212,Manakara,-22.1333,48.0167,72.97,86,0,1.21,MG,2022-04-02 17:32:29
213,Alice Springs,-23.7,133.8833,62.15,42,49,6.91,AU,2022-04-02 17:32:29
214,Esperance,-33.8667,121.9,66.04,54,2,13.8,AU,2022-04-02 17:32:30
215,Talcahuano,-36.7167,-73.1167,60.48,88,100,10.36,CL,2022-04-02 17:32:30
216,Strezhevoy,60.7333,77.5889,18.86,91,78,7.4,RU,2022-04-02 17:32:30
217,Teodoro Sampaio,-22.5325,-52.1675,78.4,64,92,9.13,BR,2022-04-02 17:32:31
218,Bac Lieu,9.285,105.7244,80.28,81,89,16.82,VN,2022-04-02 17:32:31
